Title,Content Name,URL
History of computer,History of computer,https://np.chimpvine.com/mod/hvp/view.php?id=4675
History of computer,Electro-mechanical and electronic computers,https://np.chimpvine.com/mod/hvp/view.php?id=4676
History of computer,Inventors of computers,https://np.chimpvine.com/mod/hvp/view.php?id=4677
History of computer,History of computer in Nepal,https://np.chimpvine.com/mod/hvp/view.php?id=4678
Computer generations,Introduction and First Generation Computers,https://np.chimpvine.com/mod/hvp/view.php?id=4695
Computer generations,Second Generation Computers,https://np.chimpvine.com/mod/hvp/view.php?id=4696
Computer generations,Third Generation Computers,https://np.chimpvine.com/mod/hvp/view.php?id=4698
Computer generations,Fourth Generation Computers,https://np.chimpvine.com/mod/hvp/view.php?id=4701
Computer generations,Fifth Generation Computers,https://np.chimpvine.com/mod/hvp/view.php?id=4710
Types of computer,On the basic of size,https://np.chimpvine.com/mod/hvp/view.php?id=4704
Types of computer,On the basis of work,https://np.chimpvine.com/mod/hvp/view.php?id=4706
Types of operating system,Batch operating system,https://np.chimpvine.com/mod/hvp/view.php?id=4711
Types of operating system,Time-sharing operating systems,https://np.chimpvine.com/mod/hvp/view.php?id=4712
Types of operating system,Distributed operating systems,https://np.chimpvine.com/mod/hvp/view.php?id=4717
Types of operating system,Network operating system,https://np.chimpvine.com/mod/hvp/view.php?id=4732
Types of operating system,Real-time operating system,https://np.chimpvine.com/mod/hvp/view.php?id=4733
Types of operating system,On the basis of Interface,https://np.chimpvine.com/mod/hvp/view.php?id=4734
Computer software,Introduction to computer software,https://np.chimpvine.com/mod/hvp/view.php?id=4713
Computer software,System software,https://np.chimpvine.com/mod/hvp/view.php?id=4720
Computer software,Types of system software,https://np.chimpvine.com/mod/hvp/view.php?id=4747
Computer software,Application software,https://np.chimpvine.com/mod/hvp/view.php?id=4777
Number system,Introduction,https://np.chimpvine.com/mod/hvp/view.php?id=4714
Number system,Types of Number System,https://np.chimpvine.com/mod/hvp/view.php?id=4715
Number system,Number conversion,https://np.chimpvine.com/mod/hvp/view.php?id=4716
Number system,Binary calculation,https://np.chimpvine.com/mod/hvp/view.php?id=4719
Advanced features of microsoft word,Microsoft word,https://np.chimpvine.com/mod/hvp/view.php?id=4740
Advanced features of microsoft word,Saving documents,https://np.chimpvine.com/mod/hvp/view.php?id=4742
Advanced features of microsoft word,Printing,https://np.chimpvine.com/mod/hvp/view.php?id=4749
Advanced features of microsoft word,"Date, time and inserting special symbols",https://np.chimpvine.com/mod/hvp/view.php?id=4753
Advanced features of microsoft word,Selecting text with the keyboard,https://np.chimpvine.com/mod/hvp/view.php?id=4758
Advanced features of microsoft word,Text styling,https://np.chimpvine.com/mod/hvp/view.php?id=4760
Advanced features of microsoft word,Smart art garphics,https://np.chimpvine.com/mod/hvp/view.php?id=4766
Advanced features of microsoft word,Creating table,https://np.chimpvine.com/mod/hvp/view.php?id=4769
Advanced features of microsoft word,Page setup and passwords in a word document,https://np.chimpvine.com/mod/hvp/view.php?id=4770
Advanced features of microsoft excel,Introduction,https://np.chimpvine.com/mod/hvp/view.php?id=4743
Advanced features of microsoft excel,Formulas in worksheet,https://np.chimpvine.com/mod/hvp/view.php?id=4745
Advanced features of microsoft excel,Data entry in a worksheet,https://np.chimpvine.com/mod/hvp/view.php?id=4746
Advanced features of microsoft excel,The excel screen,https://np.chimpvine.com/mod/hvp/view.php?id=4750
Advanced features of microsoft excel,Working with chart,https://np.chimpvine.com/mod/hvp/view.php?id=4763
Advanced features of microsoft excel,"Troubleshooting, saving and printing",https://np.chimpvine.com/mod/hvp/view.php?id=4764
Advanced features of microsoft powerpoint,Introduction & Formatting Text,https://np.chimpvine.com/mod/hvp/view.php?id=4781
Advanced features of microsoft powerpoint,Adding a design theme &viewing slides,https://np.chimpvine.com/mod/hvp/view.php?id=4788
Advanced features of microsoft powerpoint,Slide Transitions,https://np.chimpvine.com/mod/hvp/view.php?id=4825
Advanced features of microsoft powerpoint,Inserting Shapes pictures and sounds,https://np.chimpvine.com/mod/hvp/view.php?id=4852
Data communication & computer network,Computer Network,https://np.chimpvine.com/mod/hvp/view.php?id=4793
Data communication & computer network,Types of computer networks,https://np.chimpvine.com/mod/hvp/view.php?id=4797
Data communication & computer network,Network topology,https://np.chimpvine.com/mod/hvp/view.php?id=4799
Data communication & computer network,Components of computer network,https://np.chimpvine.com/mod/hvp/view.php?id=4802
Cyber laws and computer ethics,Introduction to cyber laws,https://np.chimpvine.com/mod/hvp/view.php?id=4824
Cyber laws and computer ethics,Cyber and computer ethics,https://np.chimpvine.com/mod/hvp/view.php?id=4840
Cyber laws and computer ethics,Cyber crime,https://np.chimpvine.com/mod/hvp/view.php?id=4850
Introduction to internet and email,Internet connection and its services,https://np.chimpvine.com/mod/hvp/view.php?id=4829
Introduction to internet and email,How to search for information,https://np.chimpvine.com/mod/hvp/view.php?id=4830
Introduction to internet and email,Terms used in the internet,https://np.chimpvine.com/mod/hvp/view.php?id=4844
Introduction to internet and email,Introduction and characteristics of internet,https://np.chimpvine.com/mod/hvp/view.php?id=4851
Fundamentals of QBASIC,Introduction,https://np.chimpvine.com/mod/hvp/view.php?id=4853
Fundamentals of QBASIC,Parts of QBASIC and writing a new progam,https://np.chimpvine.com/mod/hvp/view.php?id=4874
Fundamentals of QBASIC,"Character set, constant and variables in QBASIC",https://np.chimpvine.com/mod/hvp/view.php?id=4915
Fundamentals of QBASIC,Operators and Expressions,https://np.chimpvine.com/mod/hvp/view.php?id=4916
Computer virus,Introduction and types of computer virus,https://np.chimpvine.com/mod/hvp/view.php?id=4854
Computer virus,Transmission and symptoms of computer virus,https://np.chimpvine.com/mod/hvp/view.php?id=4865
Computer virus,Antivirus and protection from computer virus,https://np.chimpvine.com/mod/hvp/view.php?id=4879
Algorithm and flowchart,Flowchart,https://np.chimpvine.com/mod/hvp/view.php?id=4855
Algorithm and flowchart,Algorithm,https://np.chimpvine.com/mod/hvp/view.php?id=4859
Program development life cycle (PDLC),Program Development Life Cycle (PDLC),https://np.chimpvine.com/mod/hvp/view.php?id=4860
Program development life cycle (PDLC),Steps of PDLC,https://np.chimpvine.com/mod/hvp/view.php?id=4862
Hyper text markup language (HTML),Introduction,https://np.chimpvine.com/mod/hvp/view.php?id=4863
Hyper text markup language (HTML),"Tags, elements and attributes",https://np.chimpvine.com/mod/hvp/view.php?id=4864
Hyper text markup language (HTML),HTML Tags,https://np.chimpvine.com/mod/hvp/view.php?id=4866
Hyper text markup language (HTML),<Font> tag,https://np.chimpvine.com/mod/hvp/view.php?id=4869
Hyper text markup language (HTML),Some commonly used HTML tags,https://np.chimpvine.com/mod/hvp/view.php?id=4870
Hyper text markup language (HTML),Tables and html forms,https://np.chimpvine.com/mod/hvp/view.php?id=4871
Hyper text markup language (HTML),Images and links in html,https://np.chimpvine.com/mod/hvp/view.php?id=4875
Concept of ICT,Introduction and evolution of communication,https://np.chimpvine.com/mod/hvp/view.php?id=4923
Concept of ICT,What is ICT?,https://np.chimpvine.com/mod/hvp/view.php?id=4924
Concept of ICT,Impact of ICT on society,https://np.chimpvine.com/mod/hvp/view.php?id=4925
Looping in QBASIC,Looping in QBASIC,https://np.chimpvine.com/mod/hvp/view.php?id=4935
QBASIC statements & library functions,Introduction,https://np.chimpvine.com/mod/hvp/view.php?id=4969
QBASIC statements & library functions,Statements,https://np.chimpvine.com/mod/hvp/view.php?id=4971
